product_id,product_name,sku,category,unit_price,description
1,Signature Cold Coffee,BEV-CC-01,Beverages,160.00,"Classic chilled espresso blended with rich cream and cocoa."
2,Classic Cappuccino,BEV-CAP-02,Beverages,140.00,"Steamed milk foam poured over single shot dark roast espresso."
3,Masala Kulhad Chai,BEV-CHAI-03,Beverages,60.00,"Traditional spiced Indian tea served piping hot in earthenware."
4,Iced Peach Green Tea,BEV-TEA-04,Beverages,120.00,"Refreshing green tea infused with natural peach extract and mint."
5,Dark Chocolate Mocha,BEV-MOC-05,Beverages,180.00,"Rich Belgian dark chocolate melted into double espresso latte."
6,Paneer Tikka Sandwich,FOOD-SW-01,Meals,190.00,"Grilled sourdough stuffed with spiced cottage cheese and mint chutney."
7,Classic Cheese Burger,FOOD-BGR-02,Meals,210.00,"Vegetable patty with cheddar cheese, jalapeños, and secret sauce."
8,Peri Peri French Fries,FOOD-FRY-03,Snacks,130.00,"Crispy golden potato fries tossed in fiery African peri-peri spices."
9,Garlic Butter Toast,FOOD-TST-04,Snacks,110.00,"Oven-baked baguette brushed with roasted garlic, herbs, and butter."
10,Butter Croissant,BAK-CRS-01,Bakery,120.00,"Flaky French butter pastry freshly baked every morning."
11,Blueberry Muffin,BAK-MUF-02,Bakery,140.00,"Moist vanilla sponge studded with wild organic blueberries."
12,Hazelnut Chocolate Brownie,BAK-BRN-03,Bakery,150.00,"Dense fudgy dark chocolate brownie topped with roasted hazelnuts."
13,Red Velvet Cupcake,BAK-CUP-04,Bakery,110.00,"Classic cocoa sponge topped with cream cheese frosting."
14,Caramel Macchiato,BEV-MAC-06,Beverages,190.00,"Vanilla-infused milk marked with espresso and drizzled with caramel."
15,Veg Club Sandwich,FOOD-SW-05,Meals,220.00,"Triple-layer toasted sandwich with cucumber, tomato, cheese, and lettuce."
16,Matcha Green Latte,BEV-MAT-07,Beverages,200.00,"Ceremonial grade Japanese green tea whisked with oat milk."
17,Mango Passion Cooler,BEV-CLR-08,Beverages,150.00,"Alphonso mango puree shaken with passionfruit boba."
18,FranchiseOps Travel Mug,MER-MUG-01,Merchandise,650.00,"Stainless steel thermal insulated travel flask (500ml)."
19,Artisanal Coffee Beans (250g),MER-COF-02,Merchandise,480.00,"Medium roast Arabica coffee beans sourced from Chikmagalur."
20,Sizzling Chocolate Lava Cake,BAK-LAV-05,Bakery,160.00,"Warm chocolate sponge with molten ganache center."
